City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Lubango,AO,-14.9172,13.4925,62.01,64,10,2.73,clear sky
262,Kanniyakumari,IN,8.0833,77.5667,77.77,84,100,16.53,overcast clouds
263,Gobabis,NA,-22.45,18.9667,72.14,10,81,9.73,broken clouds
264,Sidi Ali,DZ,36.0998,0.4206,66.54,66,87,4.43,overcast clouds
265,Port-Cartier,CA,50.0334,-66.8654,52.02,91,99,3.33,overcast clouds
266,Gubkinskiy,RU,64.434,76.5026,31.23,86,80,1.1,broken clouds
267,Buraydah,SA,26.326,43.975,75.65,17,0,5.23,clear sky
268,Narsaq,GL,60.9167,-46.05,39.42,89,98,8.21,overcast clouds
269,Lebu,CL,-37.6167,-73.65,52.74,80,100,9.15,light rain
270,Vieux-Habitants,GP,16.0589,-61.7659,81.97,77,78,14.16,broken clouds
271,Francisco Sa,BR,-16.4758,-43.4883,77.14,55,96,8.37,overcast clouds
272,Ciudad Bolivar,VE,8.1222,-63.5497,80.62,79,86,6.58,overcast clouds
273,Taywarah,AF,33.35,64.4167,38.46,28,0,6.8,clear sky
274,Beloha,MG,-25.1667,45.05,67.32,84,0,3.51,clear sky
275,El Seibo,DO,18.7641,-69.0375,83.73,88,100,5.3,overcast clouds
276,Marawi,PH,7.9986,124.2928,71.22,89,99,1.43,overcast clouds
277,Kasempa,ZM,-13.4584,25.8338,70.12,19,5,7.52,clear sky
278,Trebukhiv,UA,50.4843,30.903,53.92,84,100,7.16,overcast clouds
279,Matagami,CA,49.7502,-77.6328,59.11,94,100,5.75,overcast clouds
280,Merritt Island,US,28.5392,-80.672,78.22,57,0,8.05,clear sky
281,Birjand,IR,32.8663,59.2211,57.67,14,0,6.91,clear sky
282,Paamiut,GL,61.994,-49.6678,37.51,84,72,8.63,broken clouds
283,Vadinsk,RU,53.6916,43.0574,47.32,94,93,9.44,overcast clouds
284,Tandil,AR,-37.3217,-59.1332,54.68,59,100,5.84,light rain
285,Marsa Matruh,EG,31.3525,27.2453,71.8,64,20,11.5,few clouds
286,Astara,AZ,38.5,48.6667,63.3,58,0,2.59,clear sky
287,Axim,GH,4.8699,-2.2405,75.83,92,9,7.16,clear sky
288,Ostrovnoy,RU,68.0531,39.5131,47.39,91,99,11.21,overcast clouds
289,Necochea,AR,-38.5473,-58.7368,53.94,89,100,10.83,moderate rain
290,Balkanabat,TM,39.5108,54.3671,70.86,10,0,11.81,clear sky
291,Xonacatlan,MX,19.4022,-99.5325,68.13,72,100,8.05,light rain
292,Anloga,GH,5.7947,0.8973,77.72,88,11,12.39,few clouds
293,Podosinovets,RU,60.2776,47.0659,44.98,94,97,5.44,overcast clouds
294,Shelburne,CA,44.0787,-80.2041,68.13,64,21,6.78,few clouds
295,Padang,ID,-0.9492,100.3543,75.25,89,99,6.49,overcast clouds
296,Chatakonda,IN,17.55,80.65,74.73,99,100,3.2,overcast clouds
297,Gornopravdinsk,RU,60.05,69.9,42.21,98,100,5.01,overcast clouds
298,Nanyuki,KE,0.0167,37.0728,56.91,86,38,7.9,scattered clouds
299,Itacurubi Del Rosario,PY,-24.5,-56.6833,70.43,92,31,9.84,scattered clouds
300,Shar,KZ,49.5886,81.0453,40.26,45,38,2.28,scattered clouds
301,Itarema,BR,-2.9248,-39.9167,78.51,84,24,16.28,few clouds
302,La Rioja,ES,42.25,-2.5,55.18,90,0,2.1,clear sky
303,San Bartolome De Tirajana,ES,27.9248,-15.5733,65.32,78,20,26.46,few clouds
304,Klaksvik,FO,62.2266,-6.589,49.12,78,55,33.44,broken clouds
305,Maceio,BR,-9.6658,-35.7353,76.44,94,0,6.91,clear sky
306,Gaya,IN,24.7833,85.0,75.85,92,99,5.23,overcast clouds
307,Brzeg,PL,50.8608,17.4674,57.7,79,99,8.57,overcast clouds
308,Kyaikto,MM,17.3,97.0167,76.17,90,99,2.95,overcast clouds
309,Muravlenko,RU,63.7898,74.523,31.77,83,73,5.57,broken clouds
310,Karaton,ID,-6.3424,106.1045,73.45,92,75,2.13,broken clouds
311,Benguela,AO,-12.5763,13.4055,72.91,79,98,6.53,overcast clouds
312,Tabou,CI,4.423,-7.3528,75.9,92,95,5.55,overcast clouds
313,Tura,IN,25.5198,90.2201,71.56,97,95,2.93,overcast clouds
314,Mangaratiba,BR,-22.9597,-44.0406,68.86,92,94,6.44,overcast clouds
315,Vestmannaeyjar,IS,63.4427,-20.2734,45.3,71,89,13.98,overcast clouds
316,Itaocara,BR,-21.6692,-42.0761,70.25,91,31,4.09,scattered clouds
317,Saint-Joseph,RE,-21.3667,55.6167,66.58,76,32,10.94,scattered clouds
318,Le Port,RE,-20.9373,55.2919,69.76,81,64,3.87,broken clouds
319,Buchanan,LR,5.8808,-10.0467,76.59,90,95,4.65,light rain
320,Uvalde,US,29.3669,-99.767,89.31,33,75,6.91,broken clouds
321,Imbituba,BR,-28.24,-48.6703,64.27,84,85,9.78,overcast clouds
322,Utica,US,43.1009,-75.2327,65.48,71,1,4.85,clear sky
323,Takoradi,GH,4.8845,-1.7554,75.42,93,9,7.45,clear sky
324,Coquimbo,CL,-29.9533,-71.3436,58.73,77,20,10.36,few clouds
325,Oranjemund,NA,-28.55,16.4333,54.88,91,15,9.66,few clouds
326,Kungurtug,RU,50.5994,97.5228,29.19,53,100,1.19,overcast clouds
327,Vestmanna,FO,62.1564,-7.1664,47.32,71,75,26.46,broken clouds
328,Acarau,BR,-2.8856,-40.12,78.58,84,31,16.75,scattered clouds
329,Meulaboh,ID,4.1363,96.1285,74.08,92,100,3.51,light rain
330,Sorland,NO,67.667,12.6934,48.06,87,100,20.49,moderate rain
331,Nieuw Amsterdam,SR,5.8833,-55.0833,86.16,76,20,11.5,few clouds
332,Greenwood,US,34.1668,-82.1165,75.79,31,0,4.61,clear sky
333,Krutinka,RU,56.0055,71.5113,45.0,51,100,8.66,overcast clouds
334,Kidal,ML,18.4411,1.4078,92.12,14,1,10.83,clear sky
335,Nioro,GM,13.35,-15.75,77.86,88,54,7.61,broken clouds
336,Quebrangulo,BR,-9.3189,-36.4711,68.09,95,63,6.44,broken clouds
337,Nueva Loja,EC,0.0847,-76.8828,91.42,52,40,3.44,scattered clouds
338,Wattegama,LK,6.7989,81.4808,73.85,86,100,4.63,overcast clouds
339,Marinette,US,45.1,-87.6307,70.25,60,0,9.22,clear sky
340,Adrar,MR,20.5022,-10.0711,91.22,14,3,13.0,clear sky
341,Khash,IR,28.2211,61.2158,61.79,23,0,2.44,clear sky
342,Serenje,ZM,-13.2325,30.2352,67.23,31,15,7.9,few clouds
